# Machine-readable inventory for the optional local corpus. Values are pipe-delimited so
# filenames containing spaces remain unambiguous. An "unclassified" scene is an explicit
# metadata gap, not permission to infer capture conditions. SHA-256 values live in corpus.sha256 and the
# corpus gate requires its path set to match this file exactly.
# path|support|camera|lens|iso|width|height|orientation|crop_x|crop_y|crop_width|crop_height|captured_local|scene|features|provenance|licence
assets/CR2/AM4I0028.CR2|optional|Canon EOS-1D X Mark II|EF70-200mm f/4L IS USM|100|5496|3670|normal|12|12|5472|3648|2025-11-16 14:57:03|unclassified|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0043.CR2|optional|Canon EOS-1D X Mark II|EF70-200mm f/4L IS USM|100|5496|3670|rotate_270_clockwise|12|12|5472|3648|2025-11-16 17:10:42|portrait orientation|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0053.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|1000|5496|3670|rotate_270_clockwise|12|12|5472|3648|2025-11-16 17:13:12|portrait orientation; high ISO|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0081.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|500|5496|3670|rotate_270_clockwise|12|12|5472|3648|2025-11-16 18:20:06|portrait orientation|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0103.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|500|5496|3670|normal|12|12|5472|3648|2025-11-16 18:46:30|unclassified|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0104.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|12800|5496|3670|normal|12|12|5472|3648|2025-11-16 18:47:36|high ISO|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0121.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|2000|5496|3670|rotate_270_clockwise|12|12|5472|3648|2025-11-16 19:01:13|portrait orientation; high ISO|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0221.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|1600|5496|3670|rotate_270_clockwise|12|12|5472|3648|2025-11-16 19:11:42|portrait orientation; high ISO|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR2/AM4I0252.CR2|optional|Canon EOS-1D X Mark II|EF24-105mm f/4L IS II USM|1600|5496|3670|rotate_270_clockwise|12|12|5472|3648|2025-11-16 19:11:49|portrait orientation; high ISO|CR2 v2; LibRaw; RGGB Bayer; proprietary lossless|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
assets/CR3/S1-NU26643BlackStrip-25992-Nude Lucy-0101.CR3|optional|Canon EOS R3|EF24-70mm f/2.8L II USM|100|6032|4032|rotate_270_clockwise|20|16|6000|4000|2025-01-10 22:07:15|black fabric; portrait orientation|CR3; LibRaw; RGGB Bayer; CRX|developer-supplied local 2026-07-11|direct photographer permission 2026-07-12
